*Wavelength (um) n k 
ComplexRefractiveIndex { 
  Formula = 1 
NumericalTable( 
4.704 3.402 8.988e-6; 
4.731 3.402 9.146e-6; 
4.758 3.402 9.307e-6; 
4.786 3.402 9.472e-6; 
4.814 3.402 9.642e-6; 
4.842 3.402 9.815e-6; 
4.871 3.402 9.992e-6; 
4.9 3.402 1.017e-5; 
4.929 3.402 1.036e-5; 
4.958 3.402 1.055e-5; 
4.988 3.402 1.075e-5; 
5.019 3.402 1.095e-5; 
5.049 3.401 1.115e-5; 
5.08 3.401 1.136e-5; 
5.112 3.401 1.158e-5; 
5.144 3.401 1.18e-5; 
5.176 3.401 1.203e-5; 
5.208 3.401 1.226e-5; 
5.241 3.401 1.25e-5; 
5.275 3.401 1.274e-5; 
5.309 3.401 1.3e-5; 
5.343 3.401 1.326e-5; 
5.378 3.401 1.352e-5; 
5.413 3.401 1.379e-5; 
5.449 3.401 1.407e-5; 
5.485 3.401 1.436e-5; 
5.522 3.401 1.466e-5; 
5.559 3.4 1.496e-5; 
5.596 3.4 1.527e-5; 
5.634 3.4 1.56e-5; 
5.673 3.4 1.593e-5; 
5.712 3.4 1.627e-5; 
5.752 3.4 1.662e-5; 
5.792 3.4 1.698e-5; 
5.833 3.4 1.735e-5; 
5.875 3.4 1.773e-5; 
5.917 3.4 1.812e-5; 
5.96 3.4 1.853e-5; 
6.003 3.4 1.894e-5; 
6.047 3.399 1.937e-5; 
6.091 3.399 1.981e-5; 
6.137 3.399 2.027e-5; 
6.182 3.399 2.074e-5; 
6.229 3.399 2.123e-5; 
6.276 3.399 2.173e-5; 
6.324 3.399 2.224e-5; 
6.373 3.399 2.278e-5; 
6.423 3.399 2.333e-5; 
6.473 3.399 2.39e-5; 
6.524 3.398 2.448e-5; 
6.576 3.398 2.509e-5; 
6.629 3.398 2.572e-5; 
6.682 3.398 2.636e-5; 
6.737 3.398 2.704e-5; 
6.792 3.398 2.773e-5; 
6.849 3.398 2.845e-5; 
6.906 3.397 2.919e-5; 
6.964 3.397 2.996e-5; 
7.023 3.397 3.076e-5; 
7.083 3.397 3.158e-5; 
7.145 3.397 3.244e-5; 
7.207 3.397 3.332e-5; 
7.27 3.397 3.424e-5; 
7.335 3.396 3.52e-5; 
7.401 3.396 3.619e-5; 
7.467 3.396 3.722e-5; 
7.535 3.396 3.828e-5; 
7.605 3.396 3.939e-5; 
7.675 3.395 4.055e-5; 
7.747 3.395 4.175e-5; 
